file_name,text,true_class,predicted_class
2881151.txt,"Bourke Engine Project Homebuilt Bourke engine generator project. Includes project information, CAD drawings, animation of the mechanism, videos, test results and insights. ",Technology,Technology
2838093.txt,"Natural Environment Research Council To promote and support, by any means, high quality basic, strategic and applied research, survey, long-term environmental monitoring and related postgraduate training in terrestrial, marine and freshwater biology. ",Environment,Environment
2878286.txt,"Laboratory, Bio-processing, and Industrial Equipment Filtration and sterilization equipment, steam generators, datalogging systems, sensors. ",Technology,Instruments
2824147.txt,"USGS Minerals Information: Magnesium Statistics and information on the worldwide supply, demand, and flow of the element (PDF format). ",Chemistry,Chemistry
and_Supplies_2840330.txt,"ISC Publisher of scientific journals and tabloids addressing the technology needs of the analytical, biotechnology, clinical, and environmental testing laboratories. ",Instruments,Chemistry
2823095.txt,Sequence V1.5 A program for high throughput mass spectrometric sequence determination of linear and cyclic peptides originating from split-and-pool combinatorial libraries. ,Chemistry,Biology
2823895.txt,IUPAC: Darmstadtium A note about confirmation of synthesis of the element 110. ,Chemistry,Chemistry
2786559.txt,"Cantaloupe and Specialty Melons Information on commercial production of this crop, the plantÃ¢ÂÂs characteristics, propagation, cultural practices, insect pests, diseases and harvesting. ",Agriculture,Agriculture
Sciences_2871520.txt,"The University of Bristol: Department of Politics Includes admissions information, staff profiles, calendar of events and news, sample publications, and a collection of related links. ",Social,Social
2807445.txt,Lycopodiella Xcopelandii (Eiger) Cranfill Taxonomic data and mapped distribution from Atlas of Florida Vascular Plants. ,Biology,Biology
2785223.txt,"Organic Cotton Site The Sustainable Cotton Project, which was founded to search for, develop and promote ways to grow clean, chemical and pesticide free cotton. ",Agriculture,Agriculture
2822308.txt,California Institute of Technology Department of Chemistry. ,Chemistry,Chemistry
Sciences_2830689.txt,RD Instruments Provides water current measurement products (ADCP) and software that are used in a variety of oceanographic applications. ,Earth,Instruments
2825077.txt,"University of Texas: NMR Laboratory Dr. Ben Shoulders' famous ""BS method"" CD can be downloaded. This is a method for structure elucidation using NMR. ",Chemistry,Chemistry
2803344.txt,"Class Reptilia Outline of the taxonomy of turtles, snakes and lizards, alligators and crocodiles, with information on selected subgroups and species. ",Biology,Biology
Sciences_2872287.txt,"Issues in Science &amp; Technology A publication of the National Academy of Sciences, the National Academy of Engineering, and the Cecil and Ida Green Center for the Study of Science and Society at the University of Texas at Dallas. ",Social,Science
2796357.txt,National Wildlife Research Center Site lists publications and research programs of NWRC in the area of wildlife damage management (solving human conflicts with wildlife. ,Biology,Biology
2852855.txt,MOND: Modified Newtonian Dynamics Overview of a controversial scientific theory proposed by Moti Milgrom as a solution to the missing mass problem in extragalactic astronomy. ,Physics,Math
2851189.txt,"National Research Center for Statistics and the Environment University of Washington (Seattle, WA). ",Math,Math
in_Society_2857830.txt,"Science and the Spiritual Quest II International research program based at CTNS. Includes details of forthcoming symposia, profiles of participating academics, and articles from the media. ",Science,Science
2789065.txt,Mark Allison's Astro Site Information and observations from an amateur Deep Sky astronomer based in Salford. ,Astronomy,Astronomy
2824035.txt,"EnvironmentalChemistry.com: Holmium Atomic structure, chemical and physical properties, and table of nuclides. ",Chemistry,Chemistry
2854157.txt,"ERCOFTAC European Research Community on Fluids, Turbulence and Combustion. Portal to Fluid Dynamics database resources. Free registration required. ",Physics,Physics
in_Society_2857748.txt,"TBI, LLC. Offers education and consulting, specializing in crime scene analysis, reconstruction and bloodstain pattern analysis in Edmond, Oklahoma. ",Science,Science
in_Society_2857832.txt,"In Search of the Beginning Provides information on a book by Dean Davis examining naturalistic, Hindu, Buddhist, New Age, and biblical cosmology. Also discusses geocentricity and six day creationism. ",Science,Science
2833231.txt,"The Low Emissions Mission A free resource for Virginia Vehicle Emissions Inspectors. Includes on-line training, discussions forum, tutorials, and a cartoon archive. Citizens who have failed the emissions inspection can use this site for information on causes and repairs that could lead to a passing emissions result. ",Environment,Environment
2879215.txt,"3rd International Conference on Agents and Artificial Intelligence (ICAART) Venue: Rome, Italy Event Date: 28 - 30 January, 2011. ",Technology,Math
2843440.txt,"The Valuation Theory Home Page A forum for all mathematicians who work in or use valuation theory. Directory of people, meetings, preprints, bibliography, open problems and news. ",Math,Math
2883859.txt,"CorrIntel and CorrHelp Software to help solve industrial corrosion problems. They include expert systems, methodology and data bases focusing on material selection, failure analysis, stainless steels and nickel based alloys. ",Technology,Chemistry
2817255.txt,Paragramma Characteristics of this monotypic genus. ,Biology,Biology
2824055.txt,"USGS Minerals Information: Indium Statistics and information on the worldwide supply, demand, and flow of the element (PDF format). ",Chemistry,Chemistry
2787631.txt,Intercropping Intercropping of cereals and grain legumes for increased production under Organic Farming conditions. ,Agriculture,Agriculture
2854878.txt,"International Commission for Optics Contributes on an international basis to the progress and diffusion of knowledge in optics. Gives details on conferences, meetings, awards, travelling lecture programs and ICO newsletters. ",Physics,Physics
in_Society_2858104.txt,"How Do You Think? An exploration of science, skepticism and erroneous thought processes including an ongoing discussion of the interplay between thoughts and happiness as well as the relationship between science and thought. ",Science,Science
2789939.txt,International Research School of Planetary Sciences Non-profit organization devoted to research and post-graduate education. ,Astronomy,Earth
2823426.txt,"Student Affiliates of the ACS, Towson University Chapter A group of chemistry major, minors, pre-med, pre-den, students and anyone else interested in chemistry at Towson University. This site has links to activities, meeting times, and a message bord for students of Towson University Chemistry classes. ",Chemistry,Chemistry
2791160.txt,New Mars: A Journal of the Martian Frontier Published by the Mars Society; its archives contain significant articles on the rationale of colonization. ,Astronomy,Earth
2789704.txt,Sundial Design Program Software to design a vertical (wall mounting) sundial for walls that face up to 60 degrees away from due-south. ,Astronomy,Physics
and_Supplies_2842228.txt,"Citizen Industries Ltd Indian manufacturer and exporter of air handling units, laboratory furniture, animal caging systems, fume exhaust units, air handlers, animal care equipment, IV caging systems, laboratory fume hoods, laboratory work stations and HVAC equipment. ",Instruments,Instruments
Sciences_2831741.txt,"Geological Tools and Outfitters, LLC Offers tools and equipment for paleontological collecting. Also includes advice on use of tools, collection tips, image gallery, and field trip reports. ",Earth,Earth
2836649.txt,"allAfrica.com: Environment and Sustainable Development Articles, news and reports on issues in Africa. Bilingual English and French. ",Environment,Environment
2844578.txt,"Mathematica Militaris Bulletin of the Mathematical Sciences Departments of the US Federal Service Academies. Full text, free from vol.6 (1995). MS Word and PDF. ",Math,Math
2837161.txt,"Gathering Waters Conservancy Assists land trusts, landowners and communities in their efforts to protect the state's land and water resources. Provides landowner conservation options, directory of state land trusts, news and events. ",Environment,Environment
2785502.txt,"Insects, Mites and Diseases Recorded on Crops in Ghana Checklists of insects, mites and diseases of more than 30 fruit, vegetable and cereal crops grown in Ghana. ",Agriculture,Agriculture
Sciences_2873096.txt,DELCAPS - Delaware Creative Activities and Problem Solving Offers a competition schedule and results. Provides a calendar of events and registration forms for teams and judges. ,Social,Astronomy
2825153.txt,Bruker Users Mail Archive (New List) This is the new BUM list. ,Chemistry,Social
2853536.txt,Henry Greenside's Duke Physics Challenges Physics-related word-problem puzzles. ,Physics,Physics
Sciences_2867711.txt,Esperanto Description of Esperanto with answers to arguments against its use as an international language. ,Social,Social
in_Society_2857484.txt,"Science in Society The blog of Science and Society, Princeton UniversityÃ¢ÂÂs undergraduate journal of science, ethics and policy. Aims to inform citizens about the promises and challenges of science in the 21st century. ",Science,Science
2844627.txt,(USA) South Carolina Interdisciplinary Mathematics Institute. ,Math,Math
Sciences_2875126.txt,"Brainwashing Collection of newspaper and journal articles and book excerpts covering religious sects, therapeutic cults and the psychology of personal influence. ",Social,Social
Sciences_2861940.txt,Archaeobotanical Computer Database A review of the archaeological evidence for food plants from the British Isles: an example of the use of the Archaeobotanical Computer Database (ABCD) by Philippa Tomlinson and Allan R. Hall. ,Social,Social
2784277.txt,"Pekin Bantams Articles, forum, and links for those raising bantams. ",Agriculture,Astronomy
Sciences_2865164.txt,"International Indian Statistical Association Provides information on the Association's goals, membership, and conferences. ",Social,Social
2833978.txt,"Netherlands - FAO Global Forum on Food Security and Nutrition Website contains materials, discussions and project results relating to its key them of 'agrobiodiversity', especially the integration of agricultural biodiversity in national agricultural and environmental programmes and policies. ",Environment,Agriculture
2823779.txt,"ChemicalElements.com: Bromine Basic information, atomic structure, and isotopes. ",Chemistry,Chemistry
2809004.txt,Sorghum vulgare A short description and an account of its medicinal uses. ,Biology,Biology
Sciences_2830591.txt,Seas At Risk (SAR) An independent non-governmental federation of national and international environmental organisations concerned with the protection and restoration of the marine environment. ,Earth,Environment
2818577.txt,Genetics and the Origins of Life and Death Essay on modern genetics and its impact on fundamental questions such as the origin of life on Earth and the causes of aging . ,Biology,Earth
2878372.txt,"Regeneration Technologies, Inc. (RTI) Company involved in processing human tissue for allogenic grafts used in orthopedic, oral maxillofacial, urinary and cardiovascular surgeries. ",Technology,Instruments
2854867.txt,"NN-OnLine The Nijmegen database of nucleon-nucleon and hyperon-nucleon experimental scattering data, phase shifts, partial wave analyses, and potential models. ",Physics,Technology
2804143.txt,Coral Health and Monitoring Program Services to help improve and sustain coral reef health throughout the world. Part of an international network of coral reef researchers. ,Biology,Biology
and_Supplies_2840285.txt,"Biotrin Specialists in the detection of parvovirus b19, herpesvirus-6, herpesvirus-8 and GST assays to monitor organ and tissue damage. ",Instruments,Instruments
2825735.txt,"Sames Group C-H Bond functionalization in complex organic synthesis, chemical probes for covalent protein modification and imaging of metabolic/signaling pathways. ",Chemistry,Chemistry
2837700.txt,"Aqua Terra Consultants, Inc. Consulting, hydrogeologic services, engineering, geology, hydrology, hydrologic modeling, water rights, contaminant investigations, mine planning and modeling. Wyoming. ",Environment,Earth
Sciences_2876798.txt,"The Centre for Education in the Built Environment Provides discipline-based support for UK learning and teaching in the subject communities of architecture, town planning, landscape, building and surveying. ",Social,Social
and_Supplies_2841299.txt,"Axometrics Manufactures high-speed Mueller matrix polarimeters for simultaneously measuring all of the polarization properties of a sample, including retardance and a Stokes polarimeter for measuring the polarization state of light. ",Instruments,Instruments
2790419.txt,"Harvard College Observatory Photographic plate collection, model shop information and images, information on 9 inch Clark and the Great Refractor, and public open nights. ",Astronomy,Astronomy
2855102.txt,TEC++ Optical design and analysis software VOB by METEC with optimization. ,Physics,Math
and_Supplies_2839958.txt,"Bharat Enterprises General scientific lab equipment medical, surgical and dental lab equipment. ",Instruments,Instruments
2788348.txt,"Sky-Image Digital Photography Daniel Marquardt provides a blog, astronomical images, information on equipment and astronomical articles. ",Astronomy,Astronomy
2838634.txt,"Experiments to Test for Acid Mine Drainage Hands-on experiments to learn about water quality, the impacts of mining, streams and stream monitoring, wetlands, watersheds, and other topics. ",Environment,Environment
and_Supplies_2840814.txt,Glass Tech Custom scientific glassblowing. ,Instruments,Instruments
and_Supplies_2840875.txt,"Pegasus Industrial Specialties Inc. Supplier of tubing and glass rod, blanks, custom glass, laboratory glass, sight glass and process pipe and systems. ",Instruments,Instruments
2850939.txt,"Wavelets and Signal Processing Package for Matlab [free] WaveLab is a library of MATLAB routines for wavelet analysis, wavelet-packet analysis, cosine-packet analysis and matching pursuit. ",Math,Math
2839783.txt,"Watershed and Coastal Resources of Orange County, California Presented to raise awareness of water-quality issues. Offers information on rainfall, weather, watersheds, stormwater projects, and pollution. ",Environment,Environment
2883318.txt,"TeKa Manufacturer and supplier of a thermal conductivity meter designed for fast testing of solids, fragments, powder and viscous liquids, and of a modular temperature data logger. Contract testing services available. ",Technology,Instruments
2882548.txt,The International Food Network IFN Europe specialises in developing new food products for third party organisations. ,Technology,Technology
2792119.txt,"Proteomics Shared Resource at OSUCCC As a part of shared facility at Ohio State University Comprehensive Cancer Center, PSR offers complete proteomic services. ",Biology,Social
2883087.txt,"Korean Composite Materials Laboratory Department of Materials Science and Engineering, at Korea Advanced Institute of Science and Technology, KAIST. [Korea] ",Technology,Technology
Sciences_2865036.txt,"Brussels European and Global Economic Laboratory Based on a model which balances public and private inputs in its governance and funding, it intends to bring a new voice into Europe's economic policy discussion. ",Social,Science
2784990.txt,"University of Maine Cooperative Extension Links to county offices, resources, publications, topics of local interest. ",Agriculture,Agriculture
2846469.txt,Voronoi Diagrams Selected references and links. ,Math,Astronomy
2854470.txt,"Hyperreal World Nonstandard analysis and its applications to quantum physics, by H.Yamashita. Mixed English/Japanese. ",Physics,Physics
2886280.txt,Wikipedia: Lunar Orbiter program An overview of the five unmanned Lunar orbiter missions launched by the United States in 1966 through 1967. ,Technology,Technology
Sciences_2827947.txt,Speleogenesis Electronic journal of research on the origin and development of solution caves and other aspects of the evolution of karst topography and hydrology. Includes original papers and abstracts of items published in other journals. ,Earth,Earth
2882009.txt,"Solarwall Article Environmental Building News reports on solar walls, preheating incoming air that doesn't require glazing or any other high-maintenance parts. ",Technology,Environment
2826511.txt,"BKchem Free, portable, and open-source structure drawing program. Written in Python. ",Chemistry,Math
2886466.txt,"NASA Aqua Latin for water, AQUA is a NASA Earth Science satellite mission named for the large amount of information that the mission will be collecting about the Earth's water cycle. ",Technology,Technology
2825530.txt,Natural Product Letters Publishes important contributions in the field of natural product chemistry. ,Chemistry,Chemistry
and_Supplies_2840758.txt,"Smart Socket by PDM Systems Inc. Offers a DIN rail mountable, programmable relay socket with 20 control functions that may be selected for instant use with a standard 8 pin octal relay. ",Instruments,Math
2785898.txt,"Yale Global Institute of Sustainable Forestry Conducts education and research in the management of forests, and the promotion of forestry in privately held lands. ",Agriculture,Agriculture
and_Supplies_2841347.txt,IQ Scientific Instruments Non-glass pH systems with ISFET silicon-chip sensor technology and ion-selective probes. ,Instruments,Instruments
Sciences_2871490.txt,Guide to Questionnaires and Surveys Categorized articles about problems in data collection and survey methodology. ,Social,Earth
2878014.txt,"Informative speech on the Fokker Triplane Describes the development, operational history, strengths and weaknesses of the Fokker Triplane. Written in the form of an outline. ",Technology,Technology
Sciences_2829963.txt,"The New York Times - Topics: Haiti Collection of recent and archived news and commentary, photos, multimedia and selected web resources. US. ",Earth,Earth
2882732.txt,Purdue University: Lighting Design A Master of Fine Arts program targeted at theater and related lighting professions. ,Technology,Technology
2837824.txt,"Environmental Services Inc. Florida based firm offering a broad range of environmental consulting services including ecological services, environmental site assessment and remediation and geographical information systems. ",Environment,Environment
Sciences_2827882.txt,"University of California, Santa Barbara Institute for Crustal Studies ",Earth,Social
2792842.txt,Feldan Bio Developer of a large range of proteins including recombinant research and therapeutic proteins. Also provides contract services. ,Biology,Biology
in_Society_2857535.txt,Interactive Teaching Resources An index to online courses and syllabi from US universities and colleges. ,Science,Social
2826131.txt,"Chemical Papers Publishes fundamental studies, both experimental and theoretical on all branches of chemistry. ",Chemistry,Chemistry
2853939.txt,IB Physics Stuff Physics notes and lab ideas provided by a former IB Physics teacher. ,Physics,Physics
2822990.txt,OSIRIS Software tool for method development and optimistation in liquid chromatography. Describes capabilities and provides pricing information. ,Chemistry,Chemistry
2852994.txt,"9th Annual International Astrophysics Conference To be held March 14 - 19, 2010 at the Center for Space Plasma and Aeronomic Research (CSPAR) at The University of Alabama. ",Physics,Physics
2784319.txt,"City Farmer: Raising Quail for Food in Fredericton, New Brunswick, Canada Raising and care with a focus on urban farming issues. ",Agriculture,Agriculture
and_Supplies_2841000.txt,"Hitachi High-Technologies Canada, Inc. SEM, TEM, electron microscopes and accessories. ",Instruments,Instruments
in_Society_2857890.txt,"Al Teich's Technology &amp; the Future Toolkit A resource for students, teachers, and anyone else interested in how technology and society are shaping each other and our future. ",Science,Technology
2792662.txt,"Molecular Biology Protocols Protocol collection, with interactive forum for over ten topics, covering DNA, PCR, RNA and proteins techniques and links to online journals and bioinformatics resources, from the Northwest Fisheries Science Center Microbial Pathogenesis Lab, Seattle, WA. ",Biology,Biology
2835639.txt,"WKRG - Gulf Oil Spill Provides news from Mobile, Alabama and Pensacola, Florida. ",Environment,Environment
2820652.txt,"Arctic Theme Page Arctic sea ice ecology, organisms from bacteria, viruses, and unicellular algae to mammals (polar bears, reindeer, fox, whales) text, maps and photographs (current and historical). NOAA (National Oceanic and Atmospheric Administration) site provides access to widely distributed Arctic data and information for scientists, managers, decision makers and the general public on one of the last remaining frontiers. ",Biology,Earth
and_Supplies_2841430.txt,"Popper and Sons Reusable needles, hypodermic needles, hypodermic needles fabrication,laboratory needles, OEM custom needles, reusable luers and hypodermic tubing component fabrication. ",Instruments,Instruments
2849628.txt,"Matematicheskaya Fizika, Analiz, Geometriya In English, Ukrainian and Russian. Contact information, table of contents, some articles online. ",Math,Social
in_Society_2857517.txt,"University of Oklahoma Institute for Science and Public Policy Interdisciplinary academic research unit. Information about faculty, research programs, and coursework offered. ",Science,Science
2883824.txt,"Neale Consulting Engineers Tribology consultants focusing on design evaluation, failure investigation, engineering training and expert witness services. ",Technology,Technology
in_Society_2857802.txt,The Least of my Brothers Short course on the ethics of conducting research with human subjects. ,Science,Science
2791434.txt,"Aurora Borealis Photo Offers prints for sale by Fairbanks, Alaska-based photographer Jack Finch. Galleries are organized by type and color. ",Astronomy,Math
2824678.txt,It's Elemental: Ytterbium Basic physical and historical information. ,Chemistry,Chemistry
2786911.txt,"Bugs and Weeds A step by step approach to lawn, garden, landscape, and home pest prevention. Practical IPM, starting with prevention. ",Agriculture,Agriculture
and_Supplies_2841994.txt,"Omni Measurement Systems, Inc. Manufactures US and Canadian Weights and Measures approved scale instrumentation and load cells for the On-Board weighing industry. ",Instruments,Instruments
2837817.txt,"EcoCentric Sustainability Consulting Provides advisory serves to business, government, and individual clients in sustainability, climate change, greenhouse gas management, organizational greening and green living. ",Environment,Environment
2785932.txt,"Drought Damage to Trees Article by Dr Kim Coder into the progressive response of trees to lack of water, the effects on growth, biological lag effects, drought hardening, increased pest damage and the visible symptoms. ",Agriculture,Agriculture
Sciences_2859690.txt,"The Laboratory for Comparative Microarchaeology and Metal Conservation Accommodates the facilities for a wide choice of microarchaeological analyzes. It can support studies in the fields of ceramic petrography, micromorphology of sediments, use-wear analysis of artifacts, microbotany, palynology, micropaleontology, obsidian hydration dating, and metallography. ",Social,Chemistry
in_Society_2858067.txt,"New Mexicans for Science and Reason Non-profit group promoting science, the scientific method, rational thinking, and the critical examination of extraordinary claims. Includes articles and information about their activities. ",Science,Science
Sciences_2831401.txt,"The Burgess Shale The Department of Paleobiology, National Museum of Natural History, provides an impressive exhibit of fossils. ",Earth,Earth
2833905.txt,Consumer's Guide to Radon Reduction US EPA online publication on methods for reducing radon levels in homes. ,Environment,Environment
and_Supplies_2841027.txt,"Allied High Tech Products, Inc. Specializes in metallurgical applications and sells microscopes, accessories and sample preparation equipment. ",Instruments,Instruments
2825047.txt,NMR/ESR A short but useful link list of NMR/ESR software software. ,Chemistry,Chemistry
2824103.txt,It's Elemental: Lanthanum Basic physical and historical information. ,Chemistry,Chemistry
and_Supplies_2841536.txt,Kata Electronics Design and manufacture of radiation survey meters. ,Instruments,Earth
2791349.txt,"Jupiter Scientific: Leonids Meteor Shower What to expect, how to observe and history of the shower. ",Astronomy,Astronomy
2845743.txt,Cool Math Sites An extensive collection of links for math students and teachers. ,Math,Math
2791643.txt,When supernovae go hyper: NASA article Magazine-style article written by NASA on the explanation for gamma-ray bursts surrounding 'hypernova' type supernovae. ,Astronomy,Technology
2843589.txt,"LAPACK -- Linear Algebra PACKage written in Fortran77; provides routines for solving systems of simultaneous linear equations, least-squares solutions of linear systems of equations, eigenvalue problems, and singular value problems. ",Math,Math
2788867.txt,"Pontchartrain Astronomy Society Calendar of events, gallery, FAQs, and links located at Kenner. ",Astronomy,Astronomy
2813948.txt,"Hibiscus trionum Photograph and information on Ternate Hibiscus, its description, distribution, ecology and economic significance as a weed species. ",Biology,Biology
2791016.txt,"Planetary Science Institute Research and educational institute with projects to study planets, asteroids, and comets. ",Astronomy,Astronomy
and_Supplies_2841032.txt,"Brunel Microscopes Ltd Provides a variety of microscopes, accessories and investigation kits. Located in the UK. ",Instruments,Instruments
in_Society_2858086.txt,God Knows What Reviews and discussions of research on religion and anthropology from a skeptical perspective. ,Science,Science
Sciences_2875472.txt,"Florida State University College of Social Work The oldest and most established social work program in the State of Florida, confers the BSW, MSW, and PhD degrees. Features information about degree programs, admission process, faculty, research activities, and the Institute for Family Violence Studies. ",Social,Social
2785676.txt,"The Billfish Foundation Research, education, and advocacy to return billfish populations worldwide to healthy levels of abundance. ",Agriculture,Biology
2825526.txt,Tetrahedron Publishes experimental and theoretical research results of outstanding significance and timeliness in the field of organic chemistry and its application to related disciplines especially bio-organic chemistry. ,Chemistry,Chemistry
in_Society_2857823.txt,"Teske, John A. Professor at Elizabethtown College, Pennsylvania. Research interests include science and religion, philosophical psychology, and personality and social psychology. Vita and course syllabi. ",Science,Social
2834181.txt,"Kamloops Wildlife Park Kamloops Wildlife Park assists the preserving the threatened and endangered species through education,captive breeding and rehabilitation. ",Environment,Biology
and_Supplies_2840478.txt,Quality Histology Lab Equipment Provides information about products such as the tissue embedding center and slide stainer as well as contract development and manufacturing capabilities. ,Instruments,Instruments
Sciences_2876417.txt,"The Sociological Review The longest-established sociological journal in Britain. Explores all areas of sociology, social anthropology, social policy, cultural and women's studies. ",Social,Social
2813565.txt,"A World of Salvias Home Page A well put together website that deals with all aspects of Salvias by Richard Dufresne,a respected and well known grower of Salvias in North Carolina. ",Biology,Math
2853931.txt,"Furry Elephant: Physics Provides teaching and learning activities, with animations and simulations, on radioactivity, atomic physics and electricity. There is particular emphasis on common misconceptions. ",Physics,Physics
Sciences_2826989.txt,"CapWeather Consulting Retrieval of archived radar imagery and past weather information. Offers details of products, services, and company profile. ",Earth,Earth
Sciences_2864174.txt,"Kiva Offer people in the industrialised world the opportunity to lend small sums of money through a network of microfinance institutions, to help entrepreneurs in developing countries start self-sufficient businesses. Includes information about the loan cycle, reports on current and earlier projects, and repayment statistics. ",Social,Environment
2786297.txt,"Comfrey Factsheet on this crop, its history, uses, varieties and cultivation. ",Agriculture,Agriculture
in_Society_2857593.txt,"Verilabs Europe Offers paternity or consanguinity tests, through buccal mucus collection at home. Instruction, overview of techniques, and laboratory in Leiden, The Netherlands. ",Science,Science
2807935.txt,Fosterella penduliflora General information and classification. ,Biology,Biology
2785318.txt,"Hay Preservation Systems The way forage is harvested and stored determines how well the quality is preserved. Information on curing, preservatives and drying agents. ",Agriculture,Agriculture
2786041.txt,"New Jersey Fruit Focus Includes newsletter, research reports, news, and commercial tree fruit production guide. ",Agriculture,Agriculture
2791051.txt,Pluto: Surface Images with Hubble Space Telescope. ,Astronomy,Astronomy
2853686.txt,Physics 2000 An interactive journey through modern physics. Have fun learning visually and conceptually about 20th century science and high-tech devices. Uses java applets. ,Physics,Physics
2785631.txt,"Tobacco Flea Beetle: Epitrix hirtipennis A description of this species with photographs and details of its hosts, damage done, life cycle and control. ",Agriculture,Biology
2845032.txt,"Lectures in Combinatorics An introduction to partially ordered sets, Dilworth's theorem, lattices and combinatorial geometries. ",Math,Math
2855873.txt,"ORTEC Supplier of measurement systems, electronic instruments and modules, high resolution radiation detectors, and data analysis software for OEM and end-user applications of high resolution nuclear spectroscopy, fast-timing and pulse-height analysis. ",Physics,Instruments
Sciences_2827517.txt,"Hurricane City Up to date tracking of tropical storms in the Atlantic, The Bahamas, the Caribbean, and Gulf of Mexico. Also, webcams when available, Internet radio nearest the projected strike zone, radar, and emergency management. ",Earth,Earth
2825172.txt,Magnex Scientific The design and manufacture of NMR magnets. ,Chemistry,Chemistry
2822993.txt,"Ardent Scientific Pty Ltd. Offer GC and HPLC training, troubleshooting and technical advice, with online ordering of chromatography supplies including syringes, inlet liners, ferrules, septa from Box Hill, Victoria, Australia. ",Chemistry,Chemistry
2824397.txt,"LANL: Radon History, properties, uses, and handling. ",Chemistry,Chemistry
in_Society_2857464.txt,The Robertson Center for Science and Public Policy A public charity founded by scientists committed to the advancement of policies and practices that aid in the elimination of poverty and improving public health. ,Science,Science
2877443.txt,Upcoming Exhibitions - 2003 In 2003 we will be present our ultrasonic products and technology at the following exhibitions. ,Technology,Technology
and_Supplies_2841532.txt,"Lamse Manufacturer and supplier of a range of radiation monitoring equipment, also offers calibration service. ",Instruments,Instruments
2821574.txt,Clemson University Radar Ornithology Lab Devoted to the analysis of radar data as it relates to bird movements in the atmosphere. Based in South Carolina. ,Biology,Earth
Sciences_2828179.txt,"TRACS International (Australasia) Subsurface studies. Training for exploration and production professionals. Operate mainly in Australia, South East Asia, the Pacific region, and the Far East. ",Earth,Earth
and_Supplies_2841220.txt,"Swift Optical Instruments Manufacturer of compound, stereo and digital microscopes and weather instruments. ",Instruments,Instruments
2856327.txt,Atomic Data for Fusion The Controlled Fusion Atomic Data Center. ,Physics,Physics
and_Supplies_2840643.txt,"Letslab Online supplier of laboratory consumables, glass, balances, chemicals, reagents, agitators, supplies and equipment. ",Instruments,Instruments
2825087.txt,"Bruker BioSpin Job Opportunities With links to Bruker BioSpin job descriptions and opportunities, worldwide. ",Chemistry,Biology
2833647.txt,Analytical Testing Consultants Corporation Provides quality air testing services and efficient answers to a vast array of air pollution problems. ,Environment,Environment
2824713.txt,"ChemGlobe: Zirconium Electronic, thermal, and steric data along with an isotope table. ",Chemistry,Chemistry
and_Supplies_2840469.txt,SPEX CertiPrep Sample preparation products and certified reference materials and standards for inorganic and organic spectroscopy and chromatography. ,Instruments,Instruments
Sciences_2867241.txt,"Eighth International Symposium on Malay/Indonesian Linguistics (ISMIL 8) 31 July -2 August 2004, Penang, Malaysia. Program, abstracts, venue, registration, co-sponsors, accommodation, and speakers. ",Social,Math
2878421.txt,ChemEngInfo Includes a large selection of links to Chemical Engineering Information Sources ,Technology,Technology
in_Society_2858093.txt,Skeptic News Tracks new information on various skeptical web pages. ,Science,Science
in_Society_2858012.txt,Tracking the White Salamander Online Book telling the story of Mark Hoffman who forged Mormon documents and was convicted of murder ,Science,Social
2802931.txt,"Primates.com Photo gallery, FAQ, classification, and links. ",Biology,Biology
2803562.txt,Black Mamba Snake Informational site about this timid snake. Includes photographs and videos and information on bites. ,Biology,Biology
2834594.txt,"UNEP-WCMC: Threatened Plants Database Contains information on over 136,000 plant taxa of conservation importance based on 19,000 data sources. ",Environment,Environment
2785752.txt,Ecological Restoration Institute ERI aims to help land management agencies and communities by conducting research into implementing restoration treatments for frequent-fire forest and woodland landscapes of the Interior West. ,Agriculture,Agriculture
Sciences_2873811.txt,Brief Tragedies Paul W. Ewald and Gregory M. Cochran review 'Cancer: The Evolutionary Legacy' by Mel Greaves. ,Social,Social
2785929.txt,Christmas Tree Notes A comprehensive series of informational sheets provided by North Carolina State University Cooperative Extension on the subject of Christmas tree production and marketing. ,Agriculture,Agriculture
Sciences_2872493.txt,"The Journey with Brandon Bays One of the most powerful healing processes available, The Journey allows emotional release work to be carried out quickly and painlessly. ",Social,Social
2820334.txt,Leigh Laboratories Distributor of biomedical laboratory equipment and supplies. Includes online catalog and product support information. ,Biology,Instruments
Sciences_2829176.txt,Austen Surveying Full service land surveying firm licensed in Ohio and West Virginia. Specializes in large highway and commercial development projects. ,Earth,Earth
Sciences_2829905.txt,"How to Build an Inexpensive Seismometer Detailed instructions, including diagrams, description of components, setup and synchronization. ",Earth,Biology
2846516.txt,Triangle Jonathan Richard Shewchuk's Two-Dimensional Quality Mesh Generator and Delaunay Triangulator. ,Math,Technology
2817646.txt,Ceramium comptum microscopic image ,Biology,Biology
2786431.txt,"Maryland Turfgrass Council Organization to connect individuals, public agencies, and organizations to improve turfgrass culture, production, and education in Maryland. News and events, legislative affairs, and publications. ",Agriculture,Agriculture
Sciences_2832555.txt,AIG Journal Open access technical publication of the Australian Institute of Geoscientists (AIG) ,Earth,Technology
Sciences_2832651.txt,Review and Atlas of Palaeovegetation Preliminary land ecosystem maps of the world since the Last Glacial Maximum. ,Earth,Environment
2880101.txt,"Concept CAD Ltd Concept CAD provide PCB design solutions to all sectors of the electronics industry. We specialize in the design and layout of complex, constrained boards for leading edge technologies. ",Technology,Technology
